Graph(num_nodes=20, num_edges=292,
      ndata_schemes={'_ID': Scheme(shape=(), dtype=torch.int64)}
      edata_schemes={'_ID': Scheme(shape=(), dtype=torch.int64)})
cuda:1
Namespace(alpha=0.999, aug='1st', batch_size=32, beta1=0.9, beta2=0.999, clip_norm=1.0, cv=False, cvrun=-1, dataset='dgl', degree_embedding_size=16, epochs=100, exp='Pretrain', finetune=False, fold_idx=0, freq_embedding_size=16, gpu=0, hidden_size=64, learning_rate=0.005, load_path=None, lr_decay_epochs=[120, 160, 200], lr_decay_rate=0.0, max_degree=512, max_edge_freq=16, max_node_freq=16, moco=True, model='gin', model_folder='saved/Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999', model_name='Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999', model_path='saved', momentum=0.9, nce_k=16384, nce_t=0.07, norm=True, num_copies=12, num_layer=5, num_samples=2000, num_workers=24, optimizer='adam', positional_embedding_size=32, print_freq=10, readout='avg', restart_prob=0.8, resume='', rw_hops=256, save_freq=1, seed=0, set2set_iter=6, set2set_lstm_layer=3, subgraph_size=128, tb_folder='tensorboard/Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999', tb_freq=50, tb_path='tensorboard', weight_decay=1e-05)
Pretrain_moco_True_dgl_gin_layer_5_lr_0.005_decay_1e-05_bsz_32_hid_64_samples_2000_nce_t_0.07_nce_k_16384_rw_hops_256_restart_prob_0.8_aug_1st_ft_False_deg_16_pos_32_momentum_0.999
Use GPU: 0 for training
setting random seeds
before construct dataset 5.254283905029297
load graph done
before construct dataloader 5.254283905029297
before training 5.254283905029297
using queue shape: (16384,64)
==> training...
moco1
moco2
moco3
moco4
Train: [0][1/1500]	BT 20.379 (20.379)	DT 19.080 (19.080)	loss 5.540 (5.540)	prob 5.742 (5.742)	GS 33.891 (33.891)	mem 74.267
Train: [0][10/1500]	BT 0.059 (2.785)	DT 0.000 (2.603)	loss 9.620 (9.793)	prob 0.086 (0.172)	GS 34.375 (32.109)	mem 74.510
Train: [0][20/1500]	BT 0.039 (1.498)	DT 0.001 (1.388)	loss 9.511 (9.673)	prob 0.203 (0.158)	GS 33.438 (33.070)	mem 74.700
Train: [0][30/1500]	BT 1.750 (1.070)	DT 1.704 (0.983)	loss 9.442 (9.600)	prob 0.284 (0.192)	GS 34.250 (33.011)	mem 74.955
Train: [0][40/1500]	BT 0.037 (1.006)	DT 0.000 (0.931)	loss 9.384 (9.546)	prob 0.363 (0.235)	GS 31.031 (32.834)	mem 75.741
Train: [0][50/1500]	BT 0.036 (0.813)	DT 0.001 (0.745)	loss 9.312 (9.497)	prob 0.464 (0.280)	GS 34.078 (32.906)	mem 75.751
Train: [0][60/1500]	BT 0.040 (0.777)	DT 0.000 (0.714)	loss 9.193 (9.249)	prob 0.612 (0.541)	GS 32.188 (32.134)	mem 75.811
Train: [0][70/1500]	BT 0.039 (0.671)	DT 0.001 (0.612)	loss 9.173 (9.219)	prob 0.686 (0.592)	GS 35.047 (32.306)	mem 75.815
Train: [0][80/1500]	BT 0.040 (0.606)	DT 0.001 (0.549)	loss 9.152 (9.211)	prob 0.707 (0.618)	GS 34.781 (33.183)	mem 75.844
Train: [0][90/1500]	BT 0.061 (0.580)	DT 0.003 (0.524)	loss 9.089 (9.194)	prob 0.848 (0.652)	GS 31.672 (33.172)	mem 75.931
Train: [0][100/1500]	BT 0.038 (0.579)	DT 0.001 (0.524)	loss 9.123 (9.180)	prob 0.822 (0.686)	GS 33.031 (33.193)	mem 76.000
Train: [0][110/1500]	BT 0.042 (0.530)	DT 0.001 (0.476)	loss 9.088 (9.117)	prob 0.945 (0.882)	GS 31.516 (31.766)	mem 76.009
Train: [0][120/1500]	BT 0.052 (0.491)	DT 0.001 (0.437)	loss 9.155 (9.121)	prob 0.916 (0.892)	GS 31.422 (31.714)	mem 76.018
Train: [0][130/1500]	BT 0.069 (0.506)	DT 0.004 (0.452)	loss 9.146 (9.115)	prob 0.949 (0.922)	GS 31.391 (31.560)	mem 76.289
Train: [0][140/1500]	BT 0.061 (0.473)	DT 0.017 (0.420)	loss 9.235 (9.121)	prob 0.875 (0.936)	GS 33.906 (32.098)	mem 76.315
Train: [0][150/1500]	BT 0.039 (0.478)	DT 0.000 (0.425)	loss 9.064 (9.128)	prob 1.091 (0.947)	GS 34.312 (32.178)	mem 77.933
Train: [0][160/1500]	BT 0.037 (0.463)	DT 0.000 (0.411)	loss 9.226 (9.185)	prob 0.972 (1.009)	GS 34.172 (33.055)	mem 79.083
Train: [0][170/1500]	BT 0.045 (0.439)	DT 0.010 (0.387)	loss 9.171 (9.173)	prob 1.076 (1.042)	GS 35.109 (32.859)	mem 79.257
Train: [0][180/1500]	BT 0.038 (0.441)	DT 0.001 (0.390)	loss 9.165 (9.178)	prob 1.129 (1.054)	GS 39.234 (32.729)	mem 76.468
Train: [0][190/1500]	BT 0.039 (0.420)	DT 0.001 (0.370)	loss 9.318 (9.191)	prob 1.026 (1.060)	GS 35.203 (32.608)	mem 76.483
Train: [0][200/1500]	BT 0.039 (0.407)	DT 0.001 (0.358)	loss 9.217 (9.195)	prob 1.126 (1.074)	GS 36.375 (32.591)	mem 76.551
Train: [0][210/1500]	BT 0.038 (0.396)	DT 0.001 (0.347)	loss 9.332 (9.208)	prob 1.051 (1.189)	GS 29.719 (32.673)	mem 76.611
Train: [0][220/1500]	BT 0.056 (0.388)	DT 0.000 (0.340)	loss 9.349 (9.257)	prob 0.975 (1.122)	GS 33.828 (33.248)	mem 76.652
Train: [0][230/1500]	BT 0.037 (0.380)	DT 0.000 (0.332)	loss 9.298 (9.255)	prob 1.084 (1.132)	GS 28.875 (33.031)	mem 76.680
Train: [0][240/1500]	BT 0.037 (0.370)	DT 0.000 (0.322)	loss 9.240 (9.267)	prob 1.139 (1.128)	GS 34.594 (33.010)	mem 76.706
Train: [0][250/1500]	BT 0.038 (0.368)	DT 0.001 (0.320)	loss 9.319 (9.282)	prob 1.093 (1.120)	GS 34.594 (32.978)	mem 76.778
Train: [0][260/1500]	BT 0.040 (0.357)	DT 0.000 (0.310)	loss 9.344 (9.353)	prob 1.099 (1.075)	GS 29.156 (32.413)	mem 76.802
Train: [0][270/1500]	BT 0.037 (0.359)	DT 0.000 (0.312)	loss 9.365 (9.368)	prob 1.140 (1.085)	GS 36.000 (32.429)	mem 76.889
Train: [0][280/1500]	BT 0.037 (0.350)	DT 0.000 (0.303)	loss 9.567 (9.390)	prob 0.929 (1.079)	GS 34.094 (31.860)	mem 76.907
Train: [0][290/1500]	BT 0.039 (0.343)	DT 0.001 (0.297)	loss 9.538 (9.397)	prob 0.947 (1.072)	GS 30.344 (32.005)	mem 76.932
Train: [0][300/1500]	BT 0.040 (0.339)	DT 0.001 (0.293)	loss 9.602 (9.408)	prob 0.946 (1.073)	GS 36.141 (32.255)	mem 76.061
Train: [0][310/1500]	BT 0.069 (0.338)	DT 0.017 (0.292)	loss 9.533 (9.456)	prob 0.983 (1.088)	GS 34.312 (33.297)	mem 75.871
Train: [0][320/1500]	BT 0.034 (0.332)	DT 0.001 (0.285)	loss 9.763 (9.487)	prob 0.779 (1.045)	GS 35.828 (32.637)	mem 75.881
Train: [0][330/1500]	BT 0.037 (0.346)	DT 0.001 (0.300)	loss 9.538 (9.503)	prob 0.892 (1.009)	GS 31.375 (32.803)	mem 75.974
Train: [0][340/1500]	BT 0.038 (0.337)	DT 0.001 (0.291)	loss 9.567 (9.513)	prob 1.009 (0.997)	GS 33.703 (32.753)	mem 75.999
Train: [0][350/1500]	BT 0.039 (0.339)	DT 0.001 (0.293)	loss 9.649 (9.519)	prob 0.977 (0.998)	GS 37.281 (32.842)	mem 76.464
Train: [0][360/1500]	BT 0.039 (0.330)	DT 0.001 (0.285)	loss 9.552 (9.572)	prob 0.944 (0.953)	GS 34.328 (33.734)	mem 76.493
Train: [0][370/1500]	BT 0.039 (0.330)	DT 0.000 (0.285)	loss 9.720 (9.587)	prob 0.871 (0.927)	GS 35.234 (32.812)	mem 76.636
Train: [0][380/1500]	BT 0.044 (0.327)	DT 0.008 (0.282)	loss 9.733 (9.597)	prob 0.723 (0.913)	GS 35.562 (33.048)	mem 77.051
Train: [0][390/1500]	BT 0.043 (0.319)	DT 0.001 (0.275)	loss 9.746 (9.607)	prob 0.907 (0.897)	GS 36.000 (32.827)	mem 77.135
Train: [0][400/1500]	BT 0.041 (0.331)	DT 0.001 (0.286)	loss 9.865 (9.623)	prob 0.600 (0.885)	GS 36.781 (32.867)	mem 78.074
Train: [0][410/1500]	BT 0.038 (0.324)	DT 0.000 (0.279)	loss 9.638 (9.670)	prob 0.847 (0.820)	GS 32.734 (34.003)	mem 78.053
Train: [0][420/1500]	BT 0.083 (0.343)	DT 0.009 (0.298)	loss 9.630 (9.696)	prob 0.818 (0.758)	GS 29.938 (34.187)	mem 77.870
Train: [0][430/1500]	BT 0.039 (0.341)	DT 0.001 (0.296)	loss 9.633 (9.690)	prob 0.800 (0.748)	GS 32.594 (33.932)	mem 77.907
Train: [0][440/1500]	BT 0.038 (0.334)	DT 0.001 (0.289)	loss 9.651 (9.701)	prob 0.788 (0.735)	GS 30.359 (33.662)	mem 77.921
Train: [0][450/1500]	BT 0.029 (0.343)	DT 0.000 (0.298)	loss 9.711 (9.709)	prob 0.688 (0.729)	GS 33.203 (34.016)	mem 78.109
Train: [0][460/1500]	BT 0.029 (0.336)	DT 0.001 (0.292)	loss 9.885 (9.781)	prob 0.393 (0.580)	GS 34.781 (32.020)	mem 78.096
Train: [0][470/1500]	BT 0.038 (0.338)	DT 0.000 (0.293)	loss 9.903 (9.777)	prob 0.334 (0.584)	GS 32.016 (32.632)	mem 78.200
Train: [0][480/1500]	BT 0.039 (0.332)	DT 0.000 (0.287)	loss 10.019 (9.788)	prob 0.224 (0.532)	GS 35.453 (32.476)	mem 78.212
Train: [0][490/1500]	BT 0.038 (0.326)	DT 0.001 (0.281)	loss 10.157 (9.801)	prob 0.144 (0.478)	GS 34.875 (32.462)	mem 78.217
Train: [0][500/1500]	BT 0.039 (0.328)	DT 0.001 (0.284)	loss 9.926 (9.794)	prob 0.216 (0.468)	GS 30.156 (32.312)	mem 77.303
Train: [0][510/1500]	BT 0.040 (0.322)	DT 0.001 (0.278)	loss 10.129 (9.842)	prob -0.041 (0.231)	GS 34.406 (31.941)	mem 77.304
Train: [0][520/1500]	BT 0.039 (0.322)	DT 0.001 (0.278)	loss 9.913 (9.850)	prob -0.157 (0.089)	GS 33.203 (32.267)	mem 77.322
Train: [0][530/1500]	BT 0.039 (0.317)	DT 0.001 (0.273)	loss 9.839 (9.834)	prob 0.053 (0.037)	GS 35.094 (32.322)	mem 77.328
Train: [0][540/1500]	BT 0.041 (0.316)	DT 0.001 (0.273)	loss 9.642 (9.821)	prob 0.362 (0.020)	GS 35.500 (32.143)	mem 77.379
Train: [0][550/1500]	BT 0.040 (0.316)	DT 0.000 (0.272)	loss 9.863 (9.832)	prob 0.000 (0.034)	GS 32.312 (32.084)	mem 77.455
Train: [0][560/1500]	BT 0.041 (0.311)	DT 0.001 (0.268)	loss 9.803 (9.860)	prob 0.078 (0.044)	GS 33.719 (32.820)	mem 77.468
Train: [0][570/1500]	BT 0.361 (0.309)	DT 0.321 (0.265)	loss 9.861 (9.877)	prob 0.167 (0.081)	GS 36.391 (33.723)	mem 77.536
Train: [0][580/1500]	BT 0.033 (0.313)	DT 0.001 (0.269)	loss 9.818 (9.853)	prob 0.166 (0.120)	GS 34.297 (33.566)	mem 77.712
Train: [0][590/1500]	BT 0.034 (0.308)	DT 0.001 (0.265)	loss 10.037 (9.866)	prob -0.171 (0.066)	GS 37.297 (33.663)	mem 77.721
Train: [0][600/1500]	BT 0.031 (0.320)	DT 0.000 (0.277)	loss 9.531 (9.861)	prob 0.171 (0.024)	GS 37.422 (33.605)	mem 77.822
Train: [0][610/1500]	BT 0.037 (0.321)	DT 0.001 (0.278)	loss 9.668 (9.915)	prob 0.328 (-0.013)	GS 34.172 (33.909)	mem 77.932
Train: [0][620/1500]	BT 0.040 (0.316)	DT 0.001 (0.274)	loss 10.108 (9.901)	prob -0.216 (-0.031)	GS 34.391 (33.246)	mem 77.939
Train: [0][630/1500]	BT 0.038 (0.317)	DT 0.000 (0.274)	loss 9.857 (9.896)	prob -0.068 (-0.008)	GS 33.812 (33.205)	mem 77.999
Train: [0][640/1500]	BT 0.063 (0.313)	DT 0.003 (0.270)	loss 9.890 (9.900)	prob -0.095 (0.014)	GS 35.078 (33.082)	mem 78.008
Train: [0][650/1500]	BT 0.093 (0.319)	DT 0.010 (0.275)	loss 9.737 (9.895)	prob 0.187 (0.020)	GS 34.328 (33.178)	mem 78.142
